Database,Keyword,Seed keyword,Page,Topic,Page type,Tags,Volume,Keyword Difficulty,CPC (USD),Competitive Density,Number of Results,Intent,SERP Features,Trend,Click potential,Content references,Competitors
us,luxury brand watch,luxury watch,,,,luxury watches,90,28,1.07,0.89,185,"Informational, Commercial","Adwords Bottom, People Also Ask, Related Searches, AI Overview, Knowledge Panel, Site Links, Video, Image, Video Carousel, Popular Products","0.01,0.01,0.00,0.01,0.01,0.01,0.00,0.01,0.00,0.00,0.20,0.00",20,,
us,high end watche,luxury watch,,,,luxury watches,50,24,1.34,1.00,203,Transactional,"Video, Image, Video Carousel, Popular Products, Related Searches, Site Links","0.29,0.64,0.41,0.64,1.00,0.23,0.05,0.05,0.11,0.00,0.11,0.05",20,,
us,high end wrist watch,luxury watch,,,,luxury watches,40,29,0.53,1.00,192,"Informational, Commercial","AI Overview, Local Pack, Site Links, Video, Image, Video Carousel, People Also Ask, Related Searches","0.09,0.09,0.33,0.33,0.33,0.33,0.23,0.14,0.09,0.09,0.09,0.09",20,,
us,luxury expensive watch,luxury watch,,,,luxury watches,40,21,1.21,0.98,338000000,"Informational, Commercial","Video Carousel, People Also Ask, Popular Products, Related Searches, AI Overview, Site Links, Video, Image","0.27,0.27,0.63,1.00,0.81,0.27,0.09,0.09,0.18,0.00,0.18,0.00",20,,
us,high end watch brand,luxury watch,,,,luxury watches,40,27,0.79,0.98,189,Informational,"AI Overview, Site Links, Video, Image, Video Carousel, People Also Ask, Related Searches","0.05,0.00,0.00,0.03,0.03,0.02,0.03,0.03,0.03,0.03,0.00,0.05",20,,
us,luxary watch brand,luxury watch,,,,luxury watches,50,29,1.07,0.89,182,"Informational, Commercial","People Also Ask, Popular Products, Related Searches, AI Overview, Site Links, Video, Image, Video Carousel","0.00,0.00,1.00,0.02,0.00,0.02,0.02,0.00,0.00,0.00,0.02,0.00",20,,
us,exclusive watch,luxury watch,,,,luxury watches,40,29,1.31,0.84,198,Informational,"Related Searches, Local Pack, Image Pack, Site Links, Video, Adwords Bottom, Video Carousel, People Also Ask","0.09,0.45,0.45,0.45,0.81,0.27,0.45,0.45,0.00,0.00,0.63,0.18",20,,
us,brands of luxury watches,luxury watch,,,,luxury watches,40,29,1.07,0.89,182,Informational,"Site Links, Video, Image, Video Carousel, People Also Ask, Related Searches, AI Overview","0.03,0.00,0.00,0.00,0.05,0.01,0.01,0.00,0.00,0.54,0.01,0.03",20,,
us,expensive watches for men brands,luxury watch,,,,luxury watches,70,23,0.69,1.00,188,"Informational, Commercial","Popular Products, Related Searches, AI Overview, Site Links, Video, Image, Video Carousel, People Also Ask","0.35,0.14,0.78,1.00,0.50,0.78,0.64,0.78,0.50,0.35,0.50,0.50",20,,
us,luxury watch on sale,luxury watch,,,,luxury watches,70,22,0.65,0.44,180,Transactional,"Video, Popular Products, Related Searches, Site Links, Reviews","0.00,0.01,0.01,0.00,0.00,0.04,0.01,0.00,0.00,0.03,0.07,0.00",20,,
us,exclusive watch brands,luxury watch,,,,luxury watches,40,24,1.47,1.00,186,"Informational, Commercial","Related Searches, Discussions And Forums, AI Overview, Site Links, Video, Image, Video Carousel, People Also Ask","1.00,1.00,0.28,0.42,0.28,0.57,0.42,0.28,0.57,0.28,0.42,0.28",20,,
us,fancy watch brand,luxury watch,,,,luxury watches,40,23,0.78,0.86,186,Informational,"Related Searches, Short Videos, AI Overview, Site Links, Video, Image, Video Carousel, People Also Ask","0.82,0.05,0.23,0.29,0.23,0.11,0.11,0.29,0.05,0.11,0.00,0.17",20,,
us,high end watched,luxury watch,,,,luxury watches,40,25,1.34,1.00,201,Informational,"Video, Image, Video Carousel, People Also Ask, Popular Products, Related Searches, AI Overview, Site Links","0.11,0.19,0.19,0.34,0.15,0.00,0.15,0.15,0.11,0.00,0.07,0.00",20,,
us,expencive watch,luxury watch,,,,luxury watches,50,23,1.40,1.00,191,"Informational, Commercial","AI Overview, Site Links, Reviews, Video, Image, Adwords Bottom, People Also Ask, Related Searches","0.01,0.00,0.01,0.00,0.00,0.00,0.00,0.67,0.00,0.00,0.00,0.00",20,,
us,expenisve watch brands,luxury watch,,,,luxury watches,70,21,0.79,0.91,165,Informational,"Video, Image, Video Carousel, People Also Ask, Related Searches, AI Overview, Site Links","0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",20,,
us,expensive watches brand,luxury watch,,,,luxury watches,50,26,0.79,0.91,162,"Informational, Commercial","AI Overview, Site Links, Reviews, Video, Image, Video Carousel, People Also Ask, Related Searches","0.02,0.14,1.00,0.04,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00",20,,
us,expensive swiss watch brands,luxury watch,,,,luxury watches,40,29,0.87,1.00,164,"Informational, Commercial","Related Searches, AI Overview, Image Pack, Site Links, Video, Image, Video Carousel, People Also Ask","0.01,0.02,0.01,0.03,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.01",20,,
us,watch steel luxury brand,luxury watch,,,,luxury watches,90,18,0.00,0.33,56800000,"Informational, Commercial","Discussions And Forums, Site Links, Image, Related Searches, AI Overview, Video, Video Carousel, People Also Ask, Popular Products","0.19,0.65,0.42,1.00,1.00,0.26,0.07,0.07,0.07,0.07,0.11,0.00",20,,
us,what are high end watch brands,luxury watch,,,,luxury watches,90,26,0.31,0.93,131,"Informational, Commercial","Reviews, Image, Video Carousel, Popular Products, AI Overview, Site Links, Video, People Also Ask, Related Searches","0.41,0.52,0.41,0.41,0.64,0.82,0.82,1.00,0.41,0.29,0.41,0.41",20,,
